PC1,PC2,group,
-0.412370286,0.117041604,Base,O1
0.391517324,0.255633804,Base,O15
-0.135134899,0.173311744,Base,O2
-0.270012408,0.08231473,Base,O3
-0.365179517,0.142880261,Base,O4
-0.448817582,0.097082615,Base,O5
0.38023125,0.31210656,Inu,I1
0.35061029,0.14260982,Inu,I2
0.33791916,0.10290422,Inu,I3
0.39028602,0.31092848,Inu,I4
0.37470661,0.29427563,Inu,I5
0.4182621,0.27417465,Inu,I6
0.245021126,-0.470469833,AssP,P1
-0.321210912,0.134564324,AssP,P12
0.242320721,-0.503329004,AssP,P3
0.155779328,-0.321187617,AssP,P4
0.134419745,-0.351964372,AssP,P5
0.212716588,-0.44876164,AssP,P6
-0.376575153,-0.02811552,Ass,C1
-0.109032278,-0.177499685,Ass,C2
-0.414448487,-0.009362545,Ass,C3
-0.412641047,0.025067657,Ass,C4
-0.32413333,0.061431055,Ass,C5
-0.044234352,-0.215636944,Ass,C6
