PC1,PC2,group,
-2.3455,-3.6238,Ass,C1
-25.855,13.827,Ass,C2
-3.2625,-3.1101,Ass,C3
-3.7094,-2.5122,Ass,C4
-8.3379,-3.3539,Ass,C5
-27.238,15.65,Ass,C6
-4.1632,-1.6299,Inu,I1
-5.9805,0.15035,Inu,I2
-6.3245,0.23358,Inu,I3
-4.7461,-1.3583,Inu,I4
-4.7121,-0.71987,Inu,I5
-5.3395,-1.0488,Inu,I6
-1.7061,-5.2032,Base,O1
1.0476,-6.2507,Base,O15
1.8932,-9.6546,Base,O2
-0.64714,-6.4134,Base,O3
0.63845,-8.1669,Base,O4
-0.79596,-6.1973,Base,O5
19.339,3.7466,AssP,P1
1.9343,-10.707,AssP,P12
21.813,7.6207,AssP,P3
16.808,26.909,AssP,P4
22.675,4.1932,AssP,P5
19.014,-2.3805,AssP,P6
