PC1,PC2,group,
-0.072705028,-0.264394289,Ass,C1
-0.226407565,-0.148197509,Ass,C2
-0.056380235,-0.277335749,Ass,C3
0.138946759,-0.152714053,Ass,C4
-0.252295058,-0.327857334,Ass,C5
-0.289422157,-0.128119243,Ass,C6
0.373034296,0.080662332,Inu,I1
0.30173779,0.118978318,Inu,I2
0.33115133,0.128112825,Inu,I3
0.331619257,0.086754846,Inu,I4
0.379411407,0.131565461,Inu,I5
0.385717433,0.112783429,Inu,I6
-0.137292896,-0.260269782,Base,O1
0.361657234,0.111742784,Base,O15
0.116680457,-0.115441203,Base,O2
-0.099775729,-0.195107498,Base,O3
0.0554719,-0.19918928,Base,O4
-0.088082631,-0.2627272,Base,O5
-0.239860718,0.415686945,AssP,P1
-0.112123136,-0.275487809,AssP,P12
-0.295392199,0.409684332,AssP,P3
-0.29217011,0.40967121,AssP,P4
-0.29551589,0.395021658,AssP,P5
-0.318004511,0.20617681,AssP,P6
