PC1,PC2,group,
-0.161346196,0.131356248,Ass,C1
-0.091714755,-0.032163243,Ass,C2
-0.145406105,0.139276086,Ass,C3
-0.055531853,0.188625525,Ass,C4
-0.068070678,0.08329261,Ass,C5
-0.188898216,-0.106317563,Ass,C6
0.162195595,-0.059206552,Inu,I1
0.031806187,-0.096946262,Inu,I2
0.150518192,-0.069240967,Inu,I3
0.155415686,-0.011093398,Inu,I4
0.134227515,-0.032706656,Inu,I5
0.189696184,-0.047827413,Inu,I6
-0.051349799,0.103646879,Base,O1
0.12669844,-0.067640123,Base,O15
0.220096801,0.087751724,Base,O2
0.069103821,0.151540224,Base,O3
0.04747071,0.125860677,Base,O4
-0.091390512,0.09970044,Base,O5
-0.125677944,-0.131741086,AssP,P1
-0.004348884,0.054564957,AssP,P12
-0.111916622,-0.132782668,AssP,P3
-0.004704239,-0.11258589,AssP,P4
-0.027265568,-0.105547313,AssP,P5
-0.159607758,-0.159816236,AssP,P6
